countyId,PCR 1,PCR 2,PCR 3,PCR 4,PCR 5,PCR 6,PCR 7,PCR 8,PCR 9,PCR 10,PCR 11,PCR 12,PCR 13,PCR 14,PCR 15,PCR 16,PCR 17,PCR 18,PCR 19,PCR 20,PCR 21,PCR 22,PCR 23,PCR 24,PCR 25,PCR 26,PCR 27,PCR 28,PCR 29,PCR 30,PCR 31,Deces 1,Deces 2,Deces 3,Deces 4,Deces 5,Deces 6,Deces 7,Deces 8,Deces 9,Deces 10,Deces 11,Deces 12,Deces 13,Deces 14,Deces 15,Deces 16,Deces 17,Deces 18,Deces 19,Deces 20,Deces 21,Deces 22,Deces 23,Deces 24,Deces 25,Deces 26,Deces 27,Deces 28,Deces 29,Deces 30,Deces 31,ATI 1,ATI 2,ATI 3,ATI 4,ATI 5,ATI 6,ATI 7,ATI 8,ATI 9,ATI 10,ATI 11,ATI 12,ATI 13,ATI 14,ATI 15,ATI 16,ATI 17,ATI 18,ATI 19,ATI 20,ATI 21,ATI 22,ATI 23,ATI 24,ATI 25,ATI 26,ATI 27,ATI 28,ATI 29,ATI 30,ATI 31,Doze 1,Doze 2,Doze 3,Doze 4,Doze 5,Doze 6,Doze 7,Doze 8,Doze 9,Doze 10,Doze 11,Doze 12,Doze 13,Doze 14,Doze 15,Doze 16,Doze 17,Doze 18,Doze 19,Doze 20,Doze 21,Doze 22,Doze 23,Doze 24,Doze 25,Doze 26,Doze 27,Doze 28,Doze 29,Doze 30,Doze 31
1,1589,1772,1278,1507,2221,1164,457,1588,1440,1715,1495,1304,830,285,1790,1479,1495,1459,1583,992,333,1686,1636,1954,1865,1243,661,332,1604,1340,1562,4,4,8,9,6,3,3,2,5,9,10,6,2,6,11,4,7,10,6,2,4,8,7,10,6,9,9,7,6,9,8,47,47,47,47,47,47,47,46,49,50,49,51,52,51,49,49,50,55,53,59,59,62,62,59,61,56,61,62,62,62,61,851,819,902,1057,1016,1045,1002,960,1033,967,1179,1184,1157,1038,1278,1386,1393,895,943,993,894,955,1030,1035,1031,964,1008,997,1002,1040,961
2,719,883,713,633,509,291,312,674,599,623,587,469,259,346,689,746,646,633,635,246,313,563,617,705,556,533,236,361,635,872,702,5,2,2,4,0,2,1,2,2,2,2,4,3,1,6,6,1,4,1,3,0,2,2,1,1,6,1,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,20,20,19,20,18,21,21,21,18,21,21,19,18,21,734,732,725,652,728,882,752,657,745,927,814,866,845,863,1353,1173,1063,970,951,1002,991,1075,1432,1522,1619,1585,1739,1642,1642,1427,1568
3,673,633,973,644,617,281,184,421,586,1026,708,643,489,433,641,568,812,753,679,258,225,598,526,1121,640,648,424,341,770,679,940,4,2,3,1,1,2,2,4,3,8,1,0,0,4,0,2,2,6,6,4,4,6,6,3,1,3,2,3,4,2,3,32,32,32,32,32,32,32,32,30,32,37,37,38,38,39,39,38,38,38,39,38,40,41,41,41,41,41,41,41,41,41,792,791,784,1046,987,1055,957,915,998,1074,1035,949,993,903,1109,1175,1026,1032,985,1102,1011,1054,1171,1047,1057,1005,1089,939,940,1263,1161
4,434,361,523,410,407,139,119,378,472,607,287,375,139,85,443,391,436,384,416,256,136,557,490,704,497,534,144,133,565,395,535,2,1,2,0,2,1,0,3,1,4,0,6,1,1,0,4,4,4,0,1,1,4,1,1,1,1,5,0,3,3,5,28,28,28,28,28,28,28,28,29,30,31,31,30,30,31,31,33,32,34,33,35,36,34,34,34,33,34,34,33,32,34,671,673,664,730,840,960,935,782,957,796,738,823,802,748,1123,1122,1111,1192,1176,1065,1063,1006,1083,994,1034,1014,1092,1062,1095,1111,1066
5,383,743,586,798,588,291,262,518,542,760,846,597,545,153,618,641,729,864,703,309,159,624,512,833,931,747,482,149,656,786,904,5,3,1,6,3,2,2,3,2,2,3,3,1,4,2,3,3,6,4,3,1,3,2,5,2,3,5,9,5,1,4,193,193,193,193,193,193,193,193,211,225,226,228,230,240,240,247,255,257,261,260,252,264,256,260,258,267,269,277,288,294,303,977,1026,1304,1654,1435,1413,1440,1397,1524,1880,1755,1818,1479,1363,1589,2005,1601,1689,1526,1413,1302,1337,1692,1833,1915,1590,1516,1554,1777,1815,1908
6,560,551,605,572,467,402,290,574,595,649,602,493,500,275,613,643,527,625,532,511,315,570,641,660,776,439,481,312,668,628,728,0,1,0,3,3,0,6,0,7,7,1,0,4,0,6,4,0,7,7,0,3,6,1,3,6,5,8,12,5,5,0,28,28,28,28,28,28,28,28,30,30,32,33,33,30,30,29,31,31,35,35,35,35,35,35,35,37,36,36,36,36,36,477,478,454,502,522,566,549,535,465,466,625,475,489,425,690,772,701,631,755,699,573,808,868,847,768,835,833,788,911,868,854
7,232,324,475,378,215,100,0,241,290,279,341,236,128,1,233,200,429,315,276,142,1,308,299,341,223,241,106,0,271,272,470,3,2,2,3,2,2,0,2,0,1,0,0,1,2,3,3,0,0,3,3,2,3,3,1,1,2,5,0,5,3,3,46,46,46,46,46,46,46,46,61,59,57,60,57,60,64,64,61,66,68,65,64,65,66,65,68,68,67,65,63,64,68,343,468,398,455,561,523,531,562,817,586,664,619,555,491,656,712,602,639,658,685,651,609,853,749,707,667,624,626,737,984,682
8,337,659,619,526,440,187,144,360,596,630,603,563,226,154,464,501,619,499,445,168,174,652,696,528,759,619,191,180,544,416,524,2,0,2,3,4,2,0,1,0,1,1,2,0,3,3,1,4,2,5,1,2,2,3,4,2,1,1,0,3,4,6,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,7,9,9,9,410,410,429,564,646,604,626,553,529,738,617,588,551,574,703,590,566,529,509,537,553,647,580,577,690,592,596,595,673,629,604
9,158,157,110,449,334,155,41,138,241,266,229,312,87,56,168,262,254,285,108,290,35,174,187,414,342,472,71,91,152,243,182,3,0,2,2,1,3,1,0,1,2,2,0,0,1,6,0,2,0,1,0,0,4,1,4,6,1,0,2,5,0,0,10,10,10,10,10,10,10,10,11,11,8,8,9,8,8,10,11,11,10,12,12,11,10,10,10,11,11,11,12,11,11,1192,1111,1106,1393,1425,1202,1247,1229,1249,1307,1222,1409,1065,1068,1922,2094,1825,1744,1620,1428,1397,1656,2206,2230,2165,2483,2123,1969,2342,2160,2125
10,808,839,1207,1083,1127,402,231,953,951,1236,1109,850,628,370,859,998,1181,1102,981,551,220,993,913,1105,1270,919,626,271,1046,1022,1314,7,2,5,10,2,0,3,5,2,1,6,3,1,0,6,3,4,5,9,4,1,11,6,7,4,12,6,0,8,7,7,13,13,13,13,13,13,13,13,14,14,15,15,13,15,15,15,15,14,15,14,16,15,13,13,15,16,15,14,13,17,17,5337,5137,5489,6188,6471,6826,6425,7089,7680,7673,7594,7320,6296,5642,7250,7747,7618,6998,7440,7008,5045,6256,9217,9151,8803,8645,8554,8187,8988,9774,9881
11,119,182,185,231,224,183,94,192,238,203,191,298,198,87,103,238,238,235,171,178,92,123,229,196,322,309,161,93,192,342,244,2,0,1,0,1,0,0,1,2,1,0,0,0,0,1,1,1,0,2,1,1,1,2,5,1,0,0,2,8,1,4,35,35,35,35,35,35,35,35,41,41,41,42,42,45,44,42,41,41,43,43,43,43,42,42,41,41,41,41,42,42,42,744,957,858,1025,921,1057,1223,606,843,1067,858,948,818,761,937,1061,773,871,735,748,857,1166,892,783,786,832,861,1139,629,769,830
12,156,156,194,652,189,113,56,109,184,251,490,249,99,60,138,193,202,618,209,129,59,122,249,297,497,233,157,81,145,219,280,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,3,0,0,0,2,2,2,1,0,0,0,1,2,1,13,13,13,13,13,13,13,13,16,16,15,16,17,16,15,16,17,19,17,16,18,20,20,20,19,18,19,20,19,18,20,518,493,543,613,655,672,690,714,676,785,687,658,593,547,622,645,644,821,613,628,688,581,632,576,591,555,546,543,607,605,620
13,270,199,180,248,114,78,73,218,173,163,207,130,95,101,206,193,199,238,122,70,39,263,149,286,332,143,82,94,272,227,193,2,1,0,1,1,1,1,0,0,0,1,0,0,3,1,0,0,1,2,1,0,2,4,0,2,2,2,2,1,2,1,13,13,13,13,13,13,13,15,13,16,18,19,22,24,24,24,23,27,25,25,25,27,28,28,29,27,28,29,29,27,27,460,470,480,632,672,761,692,831,868,906,687,713,681,645,802,928,768,786,763,821,720,749,781,768,825,768,789,752,964,961,972
14,162,161,273,184,301,9,0,228,147,245,152,232,18,2,264,173,320,180,154,85,1,122,230,255,209,123,115,70,199,299,355,1,1,1,0,1,0,1,2,1,1,2,0,3,0,4,3,1,4,3,0,1,1,1,9,4,8,5,0,3,2,2,78,78,78,78,78,79,79,79,81,83,84,82,77,78,75,76,78,81,82,83,83,88,88,89,93,96,97,94,93,96,99,2078,1960,1895,2243,2166,2414,1829,2105,2075,2271,2155,2108,1962,1601,2357,2086,2087,2217,2471,2137,1726,2256,2879,2802,2927,2734,2972,2821,3204,3157,3141
15,484,1325,663,775,518,258,170,550,614,626,836,617,287,151,621,814,839,802,578,295,185,504,603,689,825,689,290,205,511,803,708,1,4,4,5,0,4,3,5,3,3,4,4,1,2,4,1,1,6,6,4,3,5,4,5,3,5,4,2,3,1,4,21,21,21,21,21,21,21,21,21,18,17,17,16,20,22,22,24,25,22,21,21,22,22,20,21,22,22,22,20,17,22,1192,1310,1297,1703,1410,1896,1927,1811,1829,2170,2056,2025,1803,1759,2408,2548,2195,1993,1937,1725,1683,1841,2888,2948,2822,2675,2836,2766,3038,2959,2951
16,1641,1064,1166,1431,1168,596,253,1395,1335,1552,1287,1179,585,221,1364,1187,1005,1393,1165,501,263,1573,1394,1478,1555,1280,572,248,1342,1203,1368,1,2,3,2,3,1,2,4,2,0,1,0,3,3,5,6,0,1,0,6,3,8,1,10,1,7,11,1,6,13,1,13,13,13,13,13,13,13,13,15,18,18,19,18,18,19,19,21,21,22,23,22,26,25,30,28,28,25,30,29,30,28,276,265,268,253,263,326,350,324,508,459,400,345,400,432,445,520,475,517,497,468,499,520,501,509,524,451,470,477,563,669,525
17,905,919,609,923,803,675,221,1258,804,829,1062,1011,593,219,1131,906,963,856,975,644,254,861,1035,971,998,959,681,291,993,1391,866,4,1,2,4,2,2,1,4,3,4,3,2,2,6,3,7,4,3,0,3,1,10,5,7,1,8,4,5,12,10,13,17,17,17,17,17,17,17,17,17,17,14,13,14,13,17,16,17,15,15,16,17,17,17,16,18,17,17,17,17,16,17,816,832,821,871,865,981,1012,897,952,991,981,853,792,781,760,1183,1215,997,1006,866,821,861,1108,1106,1175,1131,1094,1147,995,1353,1237
18,655,486,423,468,463,218,53,823,1080,648,509,472,259,37,620,709,416,449,660,231,54,611,1264,459,641,513,490,50,679,1048,513,9,5,7,3,4,2,1,8,6,4,5,5,1,1,5,2,3,3,1,4,2,2,2,1,4,3,4,0,4,3,2,20,20,20,20,20,20,20,18,11,15,15,15,16,16,16,16,19,18,18,20,20,18,19,20,17,19,20,18,19,18,19,1181,1311,1305,1572,1552,1518,1426,1369,1429,1554,1726,1664,1478,1355,1578,1821,1676,1426,1226,1067,1092,1252,1477,1343,1422,1266,1165,1204,1285,1341,1491
19,298,185,325,273,154,61,1,267,176,173,121,136,94,0,323,194,308,254,128,140,-,251,211,266,199,223,126,0,328,219,360,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,0,0,0,8,30,30,30,30,30,30,30,30,43,41,39,44,43,42,43,45,40,43,44,45,45,44,45,46,46,45,43,45,44,44,44,794,699,733,816,917,859,857,885,936,800,803,747,719,784,940,1099,787,1017,989,1094,1121,929,1013,907,948,916,897,940,1127,1047,884
20,169,300,283,301,231,93,65,124,340,398,177,228,141,59,178,332,352,317,245,147,78,264,376,396,375,259,103,74,408,353,303,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,3,0,0,1,1,0,2,1,0,1,5,5,5,5,5,5,5,5,7,7,6,6,7,7,7,7,8,7,7,9,8,9,8,8,10,10,10,10,9,8,7,554,592,573,683,658,748,688,646,687,684,746,683,628,640,785,967,933,796,816,724,679,750,841,737,769,709,731,742,730,748,662
21,231,306,350,207,270,143,67,280,343,285,253,291,99,92,261,235,322,321,322,180,69,133,372,302,234,374,118,48,223,259,304,5,2,9,2,6,0,5,4,4,2,3,6,0,1,3,0,4,4,3,2,2,8,1,4,6,10,0,4,5,10,5,8,8,5,5,5,5,5,5,5,5,11,8,8,10,10,9,10,9,8,6,4,9,10,11,12,13,13,11,12,10,11,718,778,822,921,1011,978,999,960,1088,1226,1285,1303,1177,1087,1063,1263,1033,936,987,947,883,1064,991,945,970,929,973,908,855,889,872
22,280,507,557,665,637,174,222,614,413,864,820,589,451,5,477,567,764,781,1039,574,88,470,1075,958,803,670,444,26,418,740,1040,2,2,4,8,0,0,5,1,3,2,5,3,1,2,3,2,2,3,0,3,0,4,5,1,2,4,4,2,5,5,2,6,6,6,6,6,6,6,6,8,8,7,8,8,7,7,6,70,8,8,8,7,7,6,8,8,8,8,8,7,7,8,699,754,722,888,951,867,891,868,1008,1114,1018,1057,1013,989,1083,1178,1024,1008,980,946,896,954,1086,1020,1080,1006,947,1060,1021,1019,995
23,140,233,401,224,208,26,42,130,360,299,292,258,233,64,170,211,290,154,216,118,56,211,279,331,378,164,266,97,182,287,258,0,0,2,2,0,2,0,3,0,0,1,0,0,0,4,1,0,3,0,2,2,3,2,2,1,1,0,1,1,2,0,24,24,24,24,24,24,24,24,26,26,22,24,26,26,27,28,24,25,24,24,26,29,27,27,26,25,22,25,26,24,25,565,687,507,667,572,765,538,629,752,756,758,892,815,589,1036,918,955,1051,1059,1361,796,923,1049,977,1221,1098,1533,1066,887,1095,1004
24,610,600,546,549,380,311,142,479,516,453,517,556,267,173,462,556,599,510,547,298,233,573,597,552,601,496,395,205,626,698,671,6,2,4,1,3,0,0,8,6,4,4,3,0,0,5,7,0,5,6,0,0,8,8,3,0,14,0,0,8,4,3,38,38,38,38,38,38,38,39,39,40,39,42,42,41,41,40,43,41,41,41,41,40,40,40,42,41,40,42,41,42,38,552,608,558,538,634,740,626,693,878,708,778,774,648,650,832,1002,851,724,730,698,638,742,792,771,792,696,726,675,751,970,752
25,113,119,137,178,103,124,82,90,160,134,121,138,97,96,120,141,194,175,197,118,85,80,254,127,141,87,239,108,106,133,182,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,28,28,28,28,28,28,28,28,34,34,33,33,29,31,31,34,32,33,34,37,35,32,30,30,32,34,33,33,33,32,33,1505,1442,1507,2084,2093,2155,1698,2034,1902,2415,2236,2271,2087,1893,2266,2565,1832,1717,1862,1754,1668,1937,2019,1953,1986,1865,1859,1558,1987,1978,1909
26,267,491,417,416,242,280,92,234,408,466,295,189,252,82,277,556,555,530,264,309,67,237,352,228,532,150,263,38,265,444,294,4,5,1,1,3,0,3,2,1,3,5,1,0,5,6,2,1,4,1,1,0,4,2,4,4,5,1,6,2,0,1,14,14,14,14,14,14,14,14,16,16,17,14,19,17,18,22,20,24,26,26,26,25,23,20,17,16,16,15,19,22,24,644,879,976,1011,1055,1141,927,990,1481,1383,1227,1189,1179,828,1249,1496,1603,1406,1534,1353,1006,1261,1479,1463,1521,1296,1257,1031,1324,1597,1571
27,232,234,216,272,168,94,71,274,247,271,298,189,116,43,170,244,288,308,233,65,53,215,267,333,330,223,70,56,211,219,325,1,0,0,3,1,0,0,1,0,1,0,0,2,0,1,1,5,1,6,0,0,2,4,1,1,0,3,4,3,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1236,1347,1133,1412,1596,1432,1141,1516,1934,1637,1532,1589,1392,1172,1432,1443,1344,1281,1366,1166,983,1736,1643,1369,1309,1449,1313,1073,1393,1558,1224
28,594,543,419,484,476,156,55,682,523,457,521,527,159,71,582,592,399,553,691,172,55,448,663,504,635,426,235,63,637,522,471,5,0,4,0,0,1,8,0,2,6,1,0,1,3,3,4,3,3,3,3,5,5,14,5,4,8,4,0,12,4,4,18,18,18,18,18,18,18,18,28,28,29,32,32,33,34,34,34,33,31,29,33,32,32,32,33,32,34,33,33,32,33,441,438,436,550,607,651,569,542,580,670,662,696,622,673,656,721,590,543,529,549,495,558,559,557,533,475,566,471,503,518,508
29,118,236,207,391,182,287,53,204,100,148,265,180,154,33,103,162,152,183,193,202,51,106,138,160,131,106,156,46,281,386,154,0,3,1,0,1,0,0,0,2,3,1,1,1,3,1,0,3,0,1,0,0,0,4,2,5,4,0,3,0,1,6,9,9,9,9,9,9,9,9,11,12,11,14,13,14,15,14,16,14,15,15,15,16,16,15,17,16,13,13,17,18,16,1089,1097,1050,1327,1425,1090,1032,1126,1268,1278,1614,1404,1335,1371,1364,1506,1513,1120,939,1069,972,1219,1203,1181,1147,1065,1068,1122,1081,1246,1332
30,930,1082,1163,1292,1048,529,236,735,774,1284,1181,884,657,335,983,1068,1449,1267,975,778,406,827,1039,1261,1152,1177,711,344,980,1043,1595,5,0,3,1,0,0,0,4,0,3,5,0,0,5,10,1,2,4,7,0,0,9,0,3,0,0,1,5,6,0,5,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,13,13,14,15,15,15,15,15,14,14,15,15,15,15,14,15,639,697,610,737,907,709,693,612,861,680,833,760,870,767,895,1091,1001,887,876,837,824,950,960,850,888,913,808,801,728,927,747
31,358,399,313,448,316,165,140,360,426,415,327,324,212,109,364,370,269,555,292,216,93,346,357,586,455,353,125,136,469,346,400,0,1,3,2,0,3,2,0,1,0,0,0,0,0,0,1,1,1,0,0,5,0,3,4,0,1,0,1,0,0,0,13,13,13,13,13,13,13,13,17,17,17,14,15,16,16,18,18,17,17,17,17,16,16,18,17,18,18,18,17,19,16,665,666,683,815,763,731,656,694,759,795,838,874,742,675,867,1047,913,895,1028,871,745,801,850,862,848,826,738,706,806,862,808
32,460,599,501,572,585,387,319,721,635,775,500,611,619,96,981,808,587,713,583,381,590,671,240,987,864,597,499,608,1049,553,579,0,2,2,1,0,0,0,0,1,0,4,0,1,1,1,1,2,2,0,1,2,4,1,4,1,1,1,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1726,1710,1680,2129,2354,2089,2018,1826,1868,2006,2034,2166,1745,1753,2214,2462,2510,2059,1777,1517,1417,1849,1978,1945,1955,1988,1720,1597,1643,2056,2030
33,196,280,247,294,339,164,57,207,304,310,370,327,184,83,188,283,258,243,269,231,52,192,231,264,340,291,170,50,193,271,270,4,4,7,6,5,1,3,3,9,3,8,4,6,5,2,3,8,9,2,7,1,6,6,5,0,10,4,6,1,5,3,35,35,35,35,35,35,35,34,44,49,47,47,47,53,57,56,56,56,58,62,60,60,55,61,66,67,70,70,70,70,71,396,382,373,468,534,580,534,602,533,565,538,633,503,519,687,666,584,644,558,454,478,544,520,524,550,538,568,490,598,490,468
34,199,250,242,183,163,141,84,278,233,243,256,248,161,130,238,274,233,237,170,139,93,330,224,245,257,190,192,115,251,230,268,0,1,1,2,2,3,0,1,1,0,3,3,1,1,1,1,2,4,2,2,1,1,2,2,3,4,4,4,4,0,2,10,10,10,10,10,10,10,10,13,13,12,11,12,11,11,12,12,11,11,11,12,12,12,12,12,12,12,12,12,12,12,606,612,583,710,769,658,653,705,899,604,584,660,588,530,888,898,842,878,779,602,575,771,806,890,1011,949,721,704,898,1073,883
35,5391,6005,6328,6110,5733,3356,2109,6215,6485,7885,6131,6284,3884,2256,6876,6727,6279,6777,6655,4406,2529,6889,6510,6692,6235,6032,3886,2742,7936,7439,6916,0,10,2,4,5,3,3,5,4,10,6,3,4,6,6,10,6,10,10,7,4,7,8,7,14,9,7,11,3,2,5,20,20,20,20,20,20,20,20,34,30,31,33,33,33,32,35,35,31,30,29,31,30,25,22,20,25,27,29,26,28,29,837,820,790,878,773,1000,919,899,915,1118,1034,895,914,807,1000,1179,843,764,856,813,791,772,1572,1455,1449,1377,1425,1361,1636,1539,1621
36,218,557,478,463,746,202,150,259,527,616,668,496,335,100,285,462,644,504,793,278,109,281,654,639,672,527,185,135,351,534,717,1,2,1,1,0,0,0,0,3,0,0,2,0,0,0,1,4,0,1,0,0,1,2,2,0,1,0,0,0,0,2,26,26,26,26,26,26,26,26,37,36,32,35,36,39,36,41,42,45,43,45,46,45,42,41,40,43,45,46,45,46,45,998,1000,979,948,1019,1182,1074,1104,1097,1126,1183,1072,1191,1086,1537,1630,1422,1383,1379,1346,1326,1562,1392,1468,1397,1296,1273,1218,1248,1363,1505
37,323,672,827,430,621,163,62,365,531,320,690,953,266,111,349,855,489,645,564,241,78,413,646,528,656,629,254,49,458,883,501,1,0,0,7,0,1,0,1,3,0,2,3,0,0,3,2,0,14,0,0,1,8,5,2,0,0,2,1,10,1,0,11,11,11,11,11,11,11,11,8,8,11,10,9,10,10,11,11,11,12,13,13,9,11,12,13,12,11,10,12,14,12,557,535,539,663,688,767,727,673,688,747,693,669,711,712,737,834,735,681,774,654,613,696,717,706,750,685,656,682,648,674,612
38,218,466,438,323,326,456,50,267,324,518,265,313,490,41,196,472,510,368,308,293,43,356,373,314,414,380,224,54,370,409,476,3,0,1,1,1,0,3,3,0,2,0,0,0,1,1,2,1,0,4,1,0,0,3,2,1,1,2,1,2,5,3,17,17,17,17,17,17,17,17,17,19,20,20,20,17,18,20,21,20,19,19,22,22,22,19,22,22,22,22,18,17,19,1349,1301,1259,1411,1598,1591,1451,1646,1625,1649,1609,1612,1389,1318,2518,2492,2168,2368,2372,2302,2272,2491,3777,4173,3466,3424,3367,3374,3632,3437,3323
39,286,414,581,526,553,454,134,246,454,526,583,654,341,180,262,612,522,480,568,387,314,358,463,461,577,527,412,176,774,766,754,6,2,2,0,2,0,0,6,5,0,8,3,0,4,6,0,3,0,9,1,0,12,6,2,4,2,0,14,9,3,4,25,25,25,25,25,25,25,25,27,27,27,28,26,28,28,28,28,27,30,30,30,28,28,28,28,28,28,28,28,28,26,241,214,318,344,335,354,321,293,394,385,432,460,414,388,594,636,486,468,476,442,472,416,377,390,405,381,415,377,445,450,441
40,114,277,260,252,177,267,0,154,327,238,205,234,289,0,150,276,188,209,170,245,2,119,298,203,238,196,225,0,149,273,154,0,3,1,2,1,1,2,1,1,0,2,4,0,3,1,0,1,0,1,1,1,2,2,2,4,2,3,0,3,5,2,26,26,26,26,26,26,26,26,32,32,35,35,37,37,37,37,37,39,41,41,40,42,41,40,41,40,42,42,40,41,41,533,563,561,687,727,732,748,647,703,790,801,830,738,821,738,859,748,717,815,671,610,650,1046,1047,1075,929,957,1073,1008,959,1044
51,343,281,259,263,208,120,18,232,291,336,269,246,131,19,286,319,180,255,345,119,28,303,288,340,298,232,141,25,352,397,373,3,3,1,0,0,1,0,1,4,2,0,4,3,0,2,1,2,1,2,4,4,2,3,2,4,5,7,1,2,6,2,10,10,10,10,10,10,10,10,10,10,11,10,9,10,11,10,11,13,10,8,12,12,11,11,10,10,12,12,16,16,15,596,583,550,597,636,754,684,690,530,546,534,643,670,710,748,759,709,801,767,667,689,674,736,631,653,632,604,632,743,639,645
52,392,292,256,346,267,176,1,323,297,293,275,263,199,1,425,306,252,295,273,169,2,308,323,284,245,206,173,4,336,328,301,4,1,2,1,3,2,2,1,4,4,5,2,1,4,5,2,1,5,2,0,3,5,3,1,5,2,2,1,6,2,2,3,3,3,3,3,3,3,3,8,7,8,6,7,7,9,9,9,9,9,9,9,11,11,10,10,7,8,9,10,10,10,459,504,539,584,654,649,726,608,606,508,567,871,707,628,1235,866,899,825,942,748,793,1137,849,784,808,834,907,962,863,872,852
